variablename,short description,years,longer description,sources 
grtw,General right-to- work law,2000–2016,"General right-to-work law? (0 = no, 1 = yes)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
gsbexem,Workers’ compensation optional for certain small businesses,2000–2015,"Workers’ compensation optional for certain small businesses? (0 = no exemption, 1 = fewer than three employees, 2 = fewer than four employees, 3 = fewer than five employees)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
gselfins,Employer self- insurance for workers’ compensation permitted,2000–2015,"Employer self-insurance for workers’ compensation permitted? (0 = no, 1 = yes)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
gsfund,State funds offer workers’ compensation insurance,2000–2015,"State funds offer workers’ compensation insurance? (0 = no, 1 = yes)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
gverif,Employer verification of legal resident status,2000–2016,"Employer verification of legal resident status (0 = not required of some private employers other than state contractors, 1 = required of some private employers other than state contractors)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
labor_age_discrimination,Age discrimination ban,1936–1999,"Does the state ban age discrimination? (0 = no, 1 = yes)","Caughey, Devin, and Christopher Warshaw. 2015. 'The Dynamics of State Policy Liberalism, 1936–2014.' American Journal of Political Science, September. doi: 10.1111/ajps.12219. https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z XZMJB"
labor_antiinjunction_laws,Anti-injunction act,1936–1966,"Does the state have an anti-injunction law? (0 = no, 1 = yes)","Caughey, Devin, and Christopher Warshaw. 2015. 'The Dynamics of State Policy Liberalism, 1936–2014.' American Journal of Political Science, September. doi: 10.1111/ajps.12219. https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z XZMJB"
labor_collective_bargaining_stat,Collective bargaining (state employees),1966–1996,"Does the state have collective bargaining rights for state government employees? (0 = no, 1 = yes)","Caughey, Devin, and Christopher Warshaw. 2015. 'The Dynamics of State Policy Liberalism, 1936–2014.' American Journal of Political Science, September. doi: 10.1111/ajps.12219. https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z XZMJB"
labor_collective_bargaining_teac,Collective bargaining (teachers),1960–1996,"Does the state have collective bargaining rights for local teachers? (0
= no, 1 = yes)","Caughey, Devin, and Christopher Warshaw. 2015. 'The Dynamics of State Policy Liberalism, 1936–2014.' American Journal of Political Science, September. doi: 10.1111/ajps.12219. https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z XZMJB"
labor_merit_system,Merit system for state employees,1936–1953,"Does the state have a merit system for state employees? (0 = no, 1 = yes)","Caughey, Devin, and Christopher Warshaw. 2015. 'The Dynamics of State Policy Liberalism, 1936–2014.' American Journal of Political Science, September. doi: 10.1111/ajps.12219. https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z XZMJB"
labor_minimumwage_men,Minimum wage for men,1944–1968,"Does the state have a minimum wage for men? (0 = no, 1 = yes)","Caughey, Devin, and Christopher Warshaw. 2015. 'The Dynamics of State Policy Liberalism, 1936–2014.' American Journal of Political Science, September. doi: 10.1111/ajps.12219. https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z XZMJB"
labor_minimumwage_women_anymajor,Minimum wage for women,1936–1980,"Does the state have a minimum wage for women? (0 = no, 1 = yes)","Caughey, Devin, and Christopher Warshaw. 2015. 'The Dynamics of State Policy Liberalism, 1936–2014.' American Journal of Political Science, September. doi: 10.1111/ajps.12219. https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z XZMJB"
labor_minwage_abovefed,Minimum wage above federal level,1968–2012,"Is the state’s minimum wage above the federal level? (0 = no, 1 = yes)","Caughey, Devin, and Christopher Warshaw. 2015. 'The Dynamics of State Policy Liberalism, 1936–2014.' American Journal of Political Science, September. doi: 10.1111/ajps.12219. https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z XZMJB"
"labor_prevailing
_wage_laws",Prevailing wage law,1936–2014,"Does the state have prevailing wage laws? (0 = no, 1 = yes)","Caughey, Devin, and Christopher Warshaw. 2015. 'The Dynamics of State Policy Liberalism, 1936–2014.' American Journal of Political Science, September. doi: 10.1111/ajps.12219. https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z XZMJB"
labor_right_to_work,Right to work law,1944–2014,"Is the state a right-to-work state? (0 = no, 1 = yes)","Caughey, Devin, and Christopher Warshaw. 2015. 'The Dynamics of State Policy Liberalism, 1936–2014.' American Journal of Political Science, September. doi: 10.1111/ajps.12219. https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z XZMJB"
labor_state_disability_insurance,Temporary disability insurance,1945–2014,"Does the state have a temporary disability insurance program? (0 = no, 1 = yes)","Caughey, Devin, and Christopher Warshaw. 2015. 'The Dynamics of State Policy Liberalism, 1936–2014.' American Journal of Political Science, September. doi: 10.1111/ajps.12219. https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z XZMJB"
labor_state_retirement_system,State pension system established,1936–1960,"Does the state have a pension system? (0 = no, 1 = yes)","Caughey, Devin, and Christopher Warshaw. 2015. 'The Dynamics of State Policy Liberalism, 1936–2014.' American Journal of Political Science, September. doi: 10.1111/ajps.12219. https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z XZMJB"
labor_workers_compensation,Workers’ compensation,1936–1947,"Has the state established workers’ compensation? (0 = no, 1 = yes)","Caughey, Devin, and Christopher Warshaw. 2015. 'The Dynamics of State Policy Liberalism, 1936–2014.' American Journal of Political Science, September. doi: 10.1111/ajps.12219. https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z XZMJB"
w_labor_relations_acts,Labor relations acts,1937–1966,Does the state have a Labor Relations Act? (0 = no; 1 = patterned after Taft- Hartley Act; 2 = patterned after Wagner Act),"Caughey, Devin, and Christopher Warshaw. 2015. 'The Dynamics of State Policy Liberalism, 1936–2014.' American Journal of Political Science, September. doi: 10.1111/ajps.12219. https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z XZMJB"
w_labor_state_ada,Disability discrimination ban,1965–1990,Does the state ban discrimination against disabled people? (0 = no; 1 = antidiscrimination law; 2 = reasonable accommodation law; see Jolls and Prescott (2004)),"Caughey, Devin, and Christopher Warshaw. 2015. 'The Dynamics of State Policy Liberalism, 1936–2014.' American Journal of Political Science, September. doi: 10.1111/ajps.12219. https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z XZMJB"
x_labor_childlabor_ageleaveschoo,Child labor drop out age,1935,What is the age minors can drop out of school (14–18)?,"Caughey, Devin, and Christopher Warshaw. 2015. 'The Dynamics of State Policy Liberalism, 1936–2014.' American Journal of Political Science, September. doi: 10.1111/ajps.12219. https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z XZMJB"
x_labor_childlabor_workpermitage,"Child labor (14-
15)",1936–1939,"Does the state require employment certificates for child labor (14 and 15)? (0 = no, 1 = yes)","Caughey, Devin, and Christopher Warshaw. 2015. 'The Dynamics of State Policy Liberalism, 1936–2014.' American Journal of Political Science, September. doi: 10.1111/ajps.12219. https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z XZMJB"
z_labor_unemployment_compensatio,Unemployment compensation,1937–2014,What is the maximum weekly amount of unemployment benefits?,"Caughey, Devin, and Christopher Warshaw. 2015. 'The Dynamics of State Policy Liberalism, 1936–2014.' American Journal of Political Science, September. doi: 10.1111/ajps.12219. https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z XZMJB"
allpass_seatbelt,Requiring all passengers to wear a seatbelt,1985–2007,0 = policy not adopted 1 = policy adopted,"Silver, Diana, and Macinko, James. State Health Policy Research Dataset (SHEPRD): 1980-2010. Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributor], 2014-09-24. https://doi.org/10.3886/ICPSR34789.v3
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
bikehelmet,Requiring helmet for riding bike,1989–2007,0 = policy not adopted 1 = policy adopted,"Silver, Diana, and Macinko, James. State Health Policy Research Dataset (SHEPRD): 1980-2010. Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributor], 2014-09-24. https://doi.org/10.3886/ICPSR34789.v3
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
frontpass_seatbelt,Requiring front passengers to wear seatbelts,1985–1995,0 = policy not adopted 1 = policy adopted,"Silver, Diana, and Macinko, James. State Health Policy Research Dataset (SHEPRD): 1980-2010. Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributor], 2014-09-24. https://doi.org/10.3886/ICPSR34789.v3
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
helmetlaw_17,Motorcyclists 17 and under required to wear a helmet,1980–2006,0 = policy not adopted 1 = policy adopted,"Silver, Diana, and Macinko, James. State Health Policy Research Dataset (SHEPRD): 1980-2010. Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributor], 2014-09-24. https://doi.org/10.3886/ICPSR34789.v3
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
helmetlaw_learn,Those with instructional permits or licenses less than 1 year old required to wear helmet on motorcycle,1980–2006,0 = policy not adopted 1 = policy adopted,"Silver, Diana, and Macinko, James. State Health Policy Research Dataset (SHEPRD): 1980-2010. Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributor], 2014-09-24. https://doi.org/10.3886/ICPSR34789.v3
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
helmetlaw_pass,Helmet required for motorcycle passenger,1980–2007,0 = policy not adopted 1 = policy adopted,"Silver, Diana, and Macinko, James. State Health Policy Research Dataset (SHEPRD): 1980-2010. Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributor], 2014-09-24. https://doi.org/10.3886/ICPSR34789.v3
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
opencont,Prohibits open alcoholic containers in vehicles,1980–2006,0 = policy not adopted 1 = policy adopted,"Silver, Diana, and Macinko, James. State Health Policy Research Dataset (SHEPRD): 1980-2010. Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributor], 2014-09-24. https://doi.org/10.3886/ICPSR34789.v3
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
primaryenforce_all,Police may pull over drivers for driving without seatbelt,1985–2010,0 = policy not adopted 1 = policy adopted,"Silver, Diana, and Macinko, James. State Health Policy Research Dataset (SHEPRD): 1980-2010. Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributor], 2014-09-24. https://doi.org/10.3886/ICPSR34789.v3
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
primaryenforce_minor,Police may pull over drivers for minors riding without seatbelt,1986–2007,0 = policy not adopted 1 = policy adopted,"Silver, Diana, and Macinko, James. State Health Policy Research Dataset (SHEPRD): 1980-2010. Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributor], 2014-09-24. https://doi.org/10.3886/ICPSR34789.v3
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
zerotoleranceapis,Law that establishes legal BAC limit of .02 for underage drivers,1983–1998,0 = policy not adopted 1 = policy adopted,"Silver, Diana, and Macinko, James. State Health Policy Research Dataset (SHEPRD): 1980-2010. Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributor], 2014-09-24. https://doi.org/10.3886/ICPSR34789.v3
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
zerotolerancelaw,Law that establishes legal BAC for underage drivers lower than adult drivers,1984–1999,0 = policy not adopted 1 = policy adopted,"Silver, Diana, and Macinko, James. State Health Policy Research Dataset (SHEPRD): 1980-2010. Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributor], 2014-09-24. https://doi.org/10.3886/ICPSR34789.v3
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
autosaf,Automobile safety compact,1959–1971,"Did state adopt the automobile safety compact? (0 = no, 1 = yes)","Boehmke, Frederick J., and Paul Skinner. 'State policy innovativeness revisited.' State Politics & Policy Quarterly 12.3 (2012): 303-329."
childseat,Child seatbelt requirement,1981–1984,"Did state adopt child seatbelt requirement? (0 = no, 1 = yes)","Boehmke, Frederick J., and Paul Skinner. 'State policy innovativeness revisited.' State Politics & Policy Quarterly 12.3 (2012): 303-329."
conacchwy,Controlled access highways,1937–1960,"Did state adopt controlled access highways? (0 = no, 1 = yes)","Boehmke, Frederick J., and Paul Skinner. 'State policy innovativeness revisited.' State Politics & Policy Quarterly 12.3 (2012): 303-329."
gdl,State graduated driver’s licensing program,1996–2009,"Did state adopt graduated driver’s licensing program? (0 = no, 1 = yes)","Boehmke, Frederick J., and Paul Skinner. 'State policy innovativeness revisited.' State Politics & Policy Quarterly 12.3 (2012): 303-329."
kidhelmet,Mandatory bicycle helmets for minors,1992–2007,"Did state adopt mandatory bicycle helmets for minors? (0 = no, 1 = yes)","Boehmke, Frederick J., and Paul Skinner. 'State policy innovativeness revisited.' State Politics & Policy Quarterly 12.3 (2012): 303-329."
motorhelm,Motorcycle helmet requirement,1967–1985,"Did state adopt motorcycle helmet requirement? (0 = no, 1 = yes)","Boehmke, Frederick J., and Paul Skinner. 'State policy innovativeness revisited.' State Politics & Policy Quarterly 12.3 (2012): 303-329."
primseat,Primary seat belt laws,1984–2004,"Did state adopt primary seat belt laws? (0 = no, 1 = yes)","Boehmke, Frederick J., and Paul Skinner. 'State policy innovativeness revisited.' State Politics & Policy Quarterly 12.3 (2012): 303-329."
prkagcit,Parking agency (enabling act) for cities,1919–1970,"Did state adopt parking agency (enabling act) for cities? (0 = no, 1 = yes)","Boehmke, Frederick J., and Paul Skinner. 'State policy innovativeness revisited.' State Politics & Policy Quarterly 12.3 (2012): 303-329."
transport,Strategic planning for transportation,1974–1991,"Did state adopt strategic planning for transportation? (0 = no, 1 = yes)","Boehmke, Frederick J., and Paul Skinner. 'State policy innovativeness revisited.' State Politics & Policy Quarterly 12.3 (2012): 303-329."
certificate_of_title_for_vessels,Regulating titles for vehicles,2013–2014,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
dalprdr,Automated license plate reader data use and retention,1957–2016,Automated License Plate Reader data use and retention (0 = no limits on data use and retention; 0.5 = use and data retention limited by AG opinion/directive; 1 = data use and retention limited by statute; 2 = significant statutory limits on use of ALPRs and retention of data/ALPRs do not exist),"Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
dautopip,Personal injury protection,2006–2014,"Personal injury protection (no-fault auto insurance) required? (0 = no, 1 = yes)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
dautouuc,Uninsured/under insured coverage required,2000–2016,"Uninsured/underinsured coverage required? (0 = no, 0.5 = only mandatory if a liability policy is purchased, 1 = uninsured only, 2 = both)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
dbeltenf,Standard (primary) enforcement of belt use for adults,2000–2016,"Standard (primary) enforcement of belt use for adults? (0 = no, 1 = yes)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
dbeltlaw,Seat belt law for adults,1957–2016,"Seat belt law for adults? (0 = no, 1 = yes)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
dbelt,Seat belt index,2000–2016,Seat belt index: dbeltlaw + dbeltenf,"Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
dbike,Bicycle helmet law exists,2000–2016,"Bicycle helmet law exists? (0 = no, 1 = yes)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
dcell,Statewide ban on handheld cell phones for all drivers,2000–2016,"Statewide ban on handheld cell phones for all drivers? (0 = no, 1 = secondary, 2 = primary)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
dfprint,Finger or thumb print required for driver’s license,2000–2016,"Finger or thumb print required for driver's license? (0 = no, 0.5 = local, 1
= state)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
dhelmall,Motorcycle helmet law covering all drivers,2000–2016,"Motorcycle helmet law covering all drivers? (0 = no, 1 = yes)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
dhelmpar,Motorcycle helmet law covering some riders,2000–2016,"Motorcycle helmet law covering some riders? (0 = no, 1 = yes)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
dimmdl,Driver’s licenses available to residents without SSNs,2000–2016,"Driver’s licenses available to residents without SSNs? (0 = no, 1 = yes)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
ddlicren,Driver’s license renewal cycle,2006–2017,"Driver’s license renewal cycle (in years, quantitative interpretation)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
ddlstr,Driver’s license renewal cycle (string),2006–2017,"Driver’s license renewal cycle (in years, with string descriptors)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
dliab,Auto liability insurance required,2000–2016,"Auto liability insurance required? (0 = no, 1 = yes)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
docont,Open container law for automobile drivers or passengers,1982–2016,"Open container law for automobile drivers or passengers? (0 = no, 1 = yes)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
dsobchk,Sobriety/safety checkpoints authorized,2000–2016,"Sobriety/safety checkpoints authorized? (0 = no, 1 = yes)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
dtextban,Statewide texting ban for all drivers,2000–2016,"Statewide texting ban for all drivers? (0
= none, 1 = secondary, 2 = primary)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
regulation_bicycle_helmets,Bicycle helmets required,1985–2014,"Does the state require that people use helmets while on bicycles? (0 = no, 1 = yes)","Caughey, Devin, and Christopher Warshaw. 2015. 'The Dynamics of State Policy Liberalism, 1936–2014.' American Journal of Political Science, September. doi: 10.1111/ajps.12219. https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z XZMJB"
regulation_mandatory_car_insuran,Mandatory car insurance,1945–1986,"Does the state require drivers to obtain car insurance? (0 = no, 1 = yes)","Caughey, Devin, and Christopher Warshaw. 2015. 'The Dynamics of State Policy Liberalism, 1936–2014.' American Journal of Political Science, September. doi: 10.1111/ajps.12219. https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z XZMJB"
regulation_mandatory_seatbelts,Mandatory seat belts,1984–2014,"Does the state require the usage of seat belts (either primary or secondary enforcement)? (0 = no, 1 = yes)","Caughey, Devin, and Christopher Warshaw. 2015. 'The Dynamics of State Policy Liberalism, 1936–2014.' American Journal of Political Science, September. doi: 10.1111/ajps.12219. https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z XZMJB"
regulation_motorcycle_helmets,Motorcycle helmets required,1967–2014,"Does the state require the usage of helmets by people on motorcycles? (0
= no, 1 = yes)","Caughey, Devin, and Christopher Warshaw. 2015. 'The Dynamics of State Policy Liberalism, 1936–2014.' American Journal of Political Science, September. doi: 10.1111/ajps.12219. https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z XZMJB"
transportation_controlledaccessh,Controlled access highways,1937–1946,"Does the state have controlled access highways? (0 = no, 1 = yes)","Caughey, Devin, and Christopher Warshaw. 2015. 'The Dynamics of State Policy Liberalism, 1936–2014.' American Journal of Political Science, September. doi: 10.1111/ajps.12219. https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z XZMJB"
licdrivers,Licensed drivers,1994–2010,Number of people with state-issued driver’s licenses,"U.S. Department of Transportation, Federal Highway Administration. Highway Statistics. http://www.fhwa.dot.gov/policyinformation/statistics.cfm.
Originally provided by Stateminder: A data visualization project from Georgetown University. http://stateminder.org/ (no longer accessible online)"
beaulic,Beauticians’ licensing,1914–1980,"Did state adopt beauticians’ licensing? (0 = no, 1 = yes)","Boehmke, Frederick J., and Paul Skinner. 'State policy innovativeness revisited.' State Politics & Policy Quarterly 12.3 (2012): 303-329."
intbar,Integrated bar,1921–1956,"Did state adopt an integrated bar? (0 = no, 1 = yes)","Boehmke, Frederick J., and Paul Skinner. 'State policy innovativeness revisited.' State Politics & Policy Quarterly 12.3 (2012): 303-329."
realest,Real estate brokers’ licensing,1917–1964,"Did state adopt real estate brokers’ licensing? (0 = no, 1 = yes)","Boehmke, Frederick J., and Paul Skinner. 'State policy innovativeness revisited.' State Politics & Policy Quarterly 12.3 (2012): 303-329."
keduc,Summed education/experi ence requirements for all occupations licensed,2010,Summed education/experience requirements for all occupations licensed,"Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
kexam,Summed exam requirements for all occupations licensed,2010,Summed exam requirements for all occupations licensed,"Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
kfees,Summed fees for all occupations licensed,2010,Summed fees for all occupations licensed,"Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
klicsurv,Percentage of workers requiring a license from survey data,2014,Percentage of workers requiring a license from survey data',"Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
kloccs,Number of licensed occupations,1993,Number of licensed occupations,"Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
kloccs2,Number of licensed occupations (smaller set),1993–2014,"Number of licensed occupations, smaller set for which consistent time- series is available","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
kewl,Employment- weighted licensure,1993–2016,Employment-weighted licensure,"Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
knccr,Scope of nurse practitioner practice: consumer choice rating,2006–2016,Scope of nurse practitioner practice: consumer choice rating (out of 100),"Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
kstat,"Statutes mentioning various regulatory, licensing-related phrases",2014–2016,"Statutes mentioning the following phrases: 'no person shall practice,' 'shall not practice,' 'no person may practice,' 'may not practice,' 'no person shall act as,' 'no person may act as,' 'shall not act as,' 'may not act as,' 'must obtain a license,' 'must obtain certification' (excluding red- flagged statutes)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
kstat2,"Statutes mentioning the following phrases: 'license required,' 'certification required'",2014–2016,"Statutes mentioning following phrases: 'license required,' 'certification required' (excluding red-flagged statutes and obvious cross-references)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
kstatsum,Index of statutory mentions of regulatory keywords,2014–2016,Index of statutory mentions of regulatory keywords (kstat + kstat2 / 2),"Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
